objectid,title,creator,date,publisher,publication_place,subject,genre,format,filename,source_link,state,title_variant,creator_variant,digital_notes,research_notes,developer_notes,pictures
al_001,Mothers in Council,"Stella (Scott) Gilman, (pseudonym Marion Vaughn)",1884,Harper & Brothers,New York,Child Rearing; Domestic Science; Conduct,Textbook; Advice Literature,record,https://books.google.com/books?id=4fkaAAAAYAAJ&,https://books.google.com/books?id=4fkaAAAAYAAJ&,Alabama,Mothers in Council,Marion Vaughn ,,,,
ar_002,My Cave Life in Vicksburg.:[sic] With Letters of Trial and Travel by a Lady,Mary Ann (Webster) Loughborough,1864,D. Appleton & Co.,New York,Life Writing; War; Politics; Region & Regionalism,Memoir,record,https://hdl.handle.net/2027/uc2.ark:/13960/t3vt1gx5b,https://hdl.handle.net/2027/uc2.ark:/13960/t3vt1gx5b,Arkansas,My Cave Life in Vicksburg,Mary W. Loughborough,,,Copy in Tulane library,
ca_003,An Arboreal Song of the Alameda (The Beautiful Way),Mary H. (Bacon) Field,1878,The Society,San Francisco,Region & Regionalism; Philosophy & Religion,Poetry; History,record,https://hdl.handle.net/2027/loc.ark:/13960/t5p84vf0t,https://hdl.handle.net/2027/loc.ark:/13960/t5p84vf0t,California,An Arboreal Song of the Almeda,Mary H. Field,,,,Illustrations w/in: https://books.google.com/books/about/An_Arboreal_Song_of_the_Alameda_The_Beau.html?id=dM8qAAAAYAAJ
ca_004,"Cozenza: A Tale of Italy, and Other Poems",Mrs. N. Furlong,1880,B.F. Sterrett,San Francisco,Nationalism,Poetry,record,https://books.google.com/books?id=SwkPAAAAIAAJ&,https://books.google.com/books?id=SwkPAAAAIAAJ&,California,Cozenza: A Tale of Italy and Other Poems,Mrs. N. Furlong,,, ,
ca_005,Dare,Mary W. Glascock,1882,The California Pubishing Company,San Francisco,,Novel,record,https://hdl.handle.net/2027/nyp.33433082303953,https://hdl.handle.net/2027/nyp.33433082303953,California,Dare,Mary W. Glascock,,,,
ca_006,Ho! For Elf-land!,Alice Eliza Kingsbury,1877,A.L. Bancroft,San Francisco,Children's Literature,Stories,record,https://hdl.handle.net/2027/uc2.ark:/13960/t2k64c47x,https://hdl.handle.net/2027/uc2.ark:/13960/t2k64c47x,California,Ho! for Elf Land,"Alice Kingsbury, Mrs. Col. F. M. Cooley",,,,
ca_007,"A System of Practical and Scientific Physiognomy; or, How to Read Faces",Mary Olmstead Stanton,1890,F.A. Davis,Philadelphia,Psychology; Science & Invention; Race,Textbook,record,https://archive.org/details/systemofpractica01staniala,https://archive.org/details/systemofpractica01staniala,California,How to Read Faces,"Mary O. Stanton, M.O. Stanton",,"Link is to a later edition, published after the Exposition.",,
ca_008,Iris: The Romance of an Opal Ring,M. B. M. (Mary Bertha McKenzie) Toland,1879,J.B. Lippincott & Co.,Philadelphia,,Poetry,record,https://hdl.handle.net/2027/uc2.ark:/13960/t6154fq8n,https://hdl.handle.net/2027/uc2.ark:/13960/t6154fq8n,California,Iris: The Romance of an Opal Ring,M. B. M. Toland,,,,
ca_009,Onti Ora: A Metrical Romance,M. B. M. (Mary Bertha McKenzie) Toland,1881,J.B. Lippincott & Co.,Philadelphia,,Poetry,record,https://hdl.handle.net/2027/hvd.hnnuyi,https://hdl.handle.net/2027/hvd.hnnuyi,California,Onti Ora,M. B. M. Toland,,,,
ca_010,On the Verge: A Romance of the Centennial,"Anne Lake Townsend, (pseudonym Philip Shirley)",1879,A.L. Bancroft,San Francisco,,Novel,record,https://hdl.handle.net/2027/umn.31951002381337o,https://hdl.handle.net/2027/umn.31951002381337o,California,On the Verge,"Mrs. A. L. Townsend, Philip Shirley ",,,,
ca_011,Physiognomy: A Practical and Scientific Treatise,Mary Olmstead Stanton,1881,Printed for the Author,San Francisco,Psychology; Science & Invention; Race,Textbook,record,https://hdl.handle.net/2027/loc.ark:/13960/t46q34s22,https://hdl.handle.net/2027/loc.ark:/13960/t46q34s22,California,Physiognomy,"Mary O. Stanton, M.O. Stanton",,,,
ca_012,"A Perfect Day, and Other Poems",Ina D. (Ina Donna) Coolbrith,1881,John H. Carmany & Co,San Francisco,,Poetry,record,https://hdl.handle.net/2027/uc2.ark:/13960/fk6nz81234,https://hdl.handle.net/2027/uc2.ark:/13960/fk6nz81234,California,A Perfect Day and Other Poems,Ina D. Coolbrith,,,,
