objectid,name,status,profile_url,image
ida_b_wells-barnett,Ida B. Wells-Barnett,current,/authors/ida_b_wells-barnett/,ida-b-1.webp
mary_church_terrell,Mary Church Terrell,current,https://thisbeautifulsisterhood.org/mary-church-terrell/,mary-church-terrell.webp
frances_ew_harper,Frances E.W. Harper,current,https://thisbeautifulsisterhood.org/frances-ellen-watkins-harper/#literary-works,few-harper.webp
gertrude_bustill_mossell,Gertrude Bustill Mossell,current,https://thisbeautifulsisterhood.org/gertrude-bustill-mossell/,gertrude-mossell.webp
harriet_jacobs,Harriet Jacobs,current,https://thisbeautifulsisterhood.org/harriet-jacobs/,harriet-1.webp
elizabeth_keckley,Elizabeth Keckley,current,https://thisbeautifulsisterhood.org/author-page-for-elizabeth-keckley/,elizabeth-keckley.webp
fannie_barrier_williams,Fannie Barrier Williams,current,https://thisbeautifulsisterhood.org/fannie-barrier-williams-and-the-synecdochal-whole-charting-the-lives-and-works-of-mary-church-terrell-frances-ellen-watkins-harper-and-ida-b-wells-barnett/,fannie-barrier-1.webp
octavia_v_rogers_albert,Octavia V. Rogers Albert,aspirational,,
anonymous_author_of_memoir_of_old_elizabeth_a_coloured_woman,"Anonymous Author of Memoir of Old Elizabeth, a coloured woman",aspirational,,
eloise_bibb,Eloise Bibb,aspirational,,
virginia_w_broughton,Virginia W. Broughton,aspirational,,
hallie_quinn_brown,Hallie Quinn Brown,aspirational,,
josephine_brown,Josephine Brown,aspirational,,
annie_l_burton,Annie L. Burton,aspirational,,
olivia_ward_bush-banks,Olivia Ward Bush-Banks,aspirational,,
mary_ann_shadd_cary,Mary Ann Shadd Cary,aspirational,,
julia_c_collins,Julia C. Collins,aspirational,,
anna_julia_haywood_cooper,Anna Julia Haywood Cooper,aspirational,,
hannah_crafts,Hannah Crafts,aspirational,,
lucy_a_delany,Lucy A. Delany,aspirational,,
alice_dunbar-nelson,Alice Dunbar-Nelson,aspirational,,
sarah_farro,Sarah Farro,aspirational,,
julia_aj_foote,Julia A.J. Foote,aspirational,,
mary_weston_fordham,Mary Weston Fordham,aspirational,,
charlotte_forten_grimke,Charlotte Forten Grimke,aspirational,,
josephine_d_henderson_heard,Josephine D. Henderson Heard,aspirational,,
pauline_hopkins,Pauline Hopkins,aspirational,,
amelia_e_johnson,Amelia E. Johnson,aspirational,,
maggie_pogue_johnson,Maggie Pogue Johnson,aspirational,,
jarena_lee,Jarena Lee,aspirational,,
victoria_earle_matthews,Victoria Earle Matthews,aspirational,,
hiram_mattison,Hiram Mattison,aspirational,,
adah_isaacs_menken,Adah Isaacs Menken,aspirational,,
nf_mosell,N.F. Mosell,aspirational,,
louisa_picquet,Louisa Picquet,aspirational,,
ann_plato,Ann Plato,aspirational,,
eliza_potter,Eliza Potter,aspirational,,
mary_prince,Mary Prince,aspirational,,
nancy_prince,Nancy Prince,aspirational,,
h_cordelia_ray,H. Cordelia Ray,aspirational,,
frank,Frank [Frances] A. Rollin,aspirational,,
amanda_smith,Amanda Smith,aspirational,,
effie_waller_smith,Effie Waller Smith,aspirational,,
sara_g_stanley,Sara G. Stanley,aspirational,,
maria_stewart,Maria Stewart,aspirational,,
susie_king_taylor,Susie King Taylor,aspirational,,
clara_ann_thompson,Clara Ann Thompson,aspirational,,
priscilla_jane_thompson,Priscilla Jane Thompson,aspirational,,
sojourner_truth,Sojourner Truth,aspirational,,
mary_e_tucker,Mary E. Tucker,aspirational,,
bethany_veney,Bethany Veney,aspirational,,
phillis_wheatley,Phillis Wheatley,aspirational,,
sarah_jane_woodson_earl,Sarah Jane Woodson Earl,aspirational,,
harriet_e_wilson,Harriet E. Wilson,aspirational,,
